Code,Name,Category Code,Unit,Size,Cost,Price,Alert Quantity, Tax Rate Name
NS-0007204001,CAP ASSY DISPENSER,C1,box,NA,7.27,10.9,2,GST
SAM-2501-001186,Capacitor,C1,box,NA,15.41,23.63,2,GST
GLO-10.58111.003,Ceramic  Large Cook Top Element 1800W,C1,box,NA,56.73,89.09,2,GST
GLO-0122004247,CERAMIC ELEMENT,C1,box,NA,25,80.9,2,GST
GLO-0122004248,CERAMIC ELEMENT,C1,box,NA,22,80.9,2,GST
GLO-10.54111.042,CERAMIC ELEMENT,C1,box,NA,45,89.09,2,GST
GLO-10.59111.042,CERAMIC ELEMENT,C1,box,NA,25,89.09,2,GST
GLO-EF10.51211.453,CERAMIC ELEMENT,C1,box,NA,25,100,2,GST
GLO-10.58111.043,Ceramic Hotplate Element 1800W 200mm,C1,box,NA,47,89.09,2,GST
NS-0048004793K,CHANNEL KIT,C1,box,NA,44.54,90,2,GST
NS-1416493,CLIP SPRING RJ412G,C1,box,NA,2.72,2.72,2,GST
GLO-0122004371,COIL ELEMENT,C1,box,NA,15,80.9,2,GST
GLO-0122004590,COIL ELEMENT,C1,box,NA,15,62.72,2,GST
GLO-9808,COIL ELEMENT,C1,box,NA,99,99,2,GST
GLO-ES4384,COIL ELEMENT,C1,box,NA,15,62.72,2,GST
GLO-4800334,"COIL ELEMENT 61/4\1250W""",C1,box,NA,13.6,80.9,2,GST
GLO-3503-10,COIL HOTPLATE 1100W 145MM,C1,box,NA,12.8,62.72,2,GST
GLO-3501-10,COIL HOTPLATE 1800W 180MM,C1,box,NA,17.2,62.72,2,GST
FP-420148P,Cold Water Inlet Valve,C1,box,NA,37.63,69,2,GST
PR-MSFBRGMA002WREO,BEARING,C1,box,NA,26.92,40.9,2,GST
PR-MSNBLTKA005WREO,BELT,C1,box,NA,8.14,16.36,2,GST
SE-W051,BEND HOSE HOOK,C1,box,NA,3.03,4.54,2,GST
GLO-031118009909R,BLANCO HINGE LH,C1,box,NA,29.5,53.64,2,GST
GLO-031118009908,BLANCO HINGE RH,C1,box,NA,29.5,53.71,2,GST
SE-LG626,BREAK MOTOR,C1,box,NA,41.81,62.72,2,GST
SE-SP001A,BREAK MOTOR,C1,box,NA,41.81,62.72,2,GST
QT-5250FA1731P,BREAK MOTOR LG,C1,box,NA,41.81,62.72,2,GST
NS-808893501,BUZZER BOX CONTROL ASSY,C1,box,NA,71.81,98.34,2,GST
QT-8572717,CAPACITOR,C1,box,NA,45,45.45,2,GST
QT-BEN009,CAPACITOR 10MF,C1,box,NA,3.5,18.18,2,GST
